+--------------------+-------+
|     Ingredient     | Count |
+--------------------+-------+
|       pepper       | 25426 |
|       butter       | 15831 |
|       cheese       | 15151 |
|       garlic       | 14116 |
|       onion        | 13673 |
|       flour        | 12915 |
|       powder       | 11376 |
|       cream        | 10029 |
|       sauce        |  9730 |
|        milk        |  9374 |
|      chicken       |  9004 |
|       olive        |  8346 |
|        eggs        |  7963 |
|       juice        |  7175 |
|      vanilla       |  7151 |
|        egg         |  5777 |
|       lemon        |  5742 |
|      tomatoes      |  4664 |
|      cinnamon      |  4555 |
|        bell        |  4434 |
|        beef        |  4359 |
|      vinegar       |  4117 |
|       onions       |  3567 |
|       bread        |  3538 |
|     chocolate      |  3401 |
|       tomato       |  3348 |
|       beans        |  3294 |
|       broth        |  3278 |
|      parsley       |  3201 |
|      cheddar       |  3162 |
|      potatoes      |  3160 |
|       celery       |  3110 |
|      parmesan      |  2893 |
|      crushed       |  2794 |
|        wine        |  2780 |
|        rice        |  2715 |
|        sour        |  2607 |
|        corn        |  2601 |
|       breast       |  2577 |
|       leaves       |  2576 |
|      mustard       |  2576 |
|      peppers       |  2547 |
|       basil        |  2461 |
|        soy         |  2427 |
|       ginger       |  2422 |
|     mushrooms      |  2409 |
|       orange       |  2331 |
|       halves       |  2247 |
|       bacon        |  2242 |
|       chips        |  2220 |
|      carrots       |  2150 |
|     mayonnaise     |  2124 |
|      cayenne       |  2059 |
|      cilantro      |  2050 |
|        lime        |  2050 |
|        pork        |  2037 |
|       cumin        |  2037 |
|      oregano       |  2029 |
|       crumbs       |  2012 |
|       yellow       |  1988 |
|      coconut       |  1982 |
|       honey        |  1948 |
|       nutmeg       |  1947 |
|       chili        |  1925 |
|      walnuts       |  1811 |
|      paprika       |  1775 |
|       flakes       |  1721 |
|       pasta        |  1707 |
|       thawed       |  1660 |
|      italian       |  1642 |
|       thyme        |  1635 |
|   worcestershire   |  1601 |
|       chile        |  1538 |
|        pie         |  1483 |
|      sausage       |  1428 |
|     cornstarch     |  1411 |
|       syrup        |  1390 |
|       apple        |  1380 |
|     semisweet      |  1369 |
|     mozzarella     |  1350 |
|       peanut       |  1333 |
|     pineapple      |  1321 |
|      jalapeno      |  1308 |
|       juiced       |  1307 |
|       pecans       |  1301 |
|       paste        |  1299 |
|      spinach       |  1277 |
|        oats        |  1270 |
|       sesame       |  1212 |
|      raisins       |  1197 |
|        zest        |  1196 |
|     margarine      |  1180 |
|       cocoa        |  1161 |
|        bay         |  1129 |
|       cloves       |  1114 |
|        cake        |  1113 |
|       crust        |  1089 |
|       olives       |  1059 |
|      pumpkin       |  1034 |
|       salad        |  1030 |
|       yeast        |  1012 |
|        dill        |  999  |
|      almonds       |  994  |
|      zucchini      |  992  |
|      ketchup       |  974  |
|       shrimp       |  972  |
|       yogurt       |  968  |
|      rosemary      |  960  |
|       turkey       |  954  |
|       kosher       |  930  |
|       cubes        |  928  |
|        peas        |  917  |
|      mushroom      |  906  |
|      bouillon      |  875  |
|     buttermilk     |  859  |
|    strawberries    |  842  |
|       apples       |  834  |
|        ham         |  830  |
|      broccoli      |  824  |
|       almond       |  817  |
|       carrot       |  815  |
|       cider        |  812  |
|      balsamic      |  810  |
|        meat        |  809  |
|      noodles       |  803  |
|       curry        |  797  |
|      fillets       |  787  |
|        seed        |  783  |
|      cabbage       |  779  |
|       active       |  772  |
|      lettuce       |  762  |
|      coarsely      |  746  |
|        dark        |  716  |
|     tortillas      |  715  |
|        root        |  714  |
|       canned       |  712  |
|       dijon        |  708  |
|       whites       |  705  |
|      liqueur       |  698  |
|       canola       |  695  |
|       quart        |  684  |
|       potato       |  675  |
|       salsa        |  671  |
|      bananas       |  647  |
|     spaghetti      |  637  |
|      pudding       |  635  |
|       cherry       |  633  |
|        ripe        |  629  |
|       squash       |  623  |
|        jack        |  614  |
|        feta        |  614  |
|       steak        |  611  |
|       yolks        |  600  |
|      florets       |  595  |
|    cranberries     |  595  |
|       banana       |  580  |
|       graham       |  570  |
|      cucumber      |  560  |
|       pastry       |  558  |
|       puree        |  554  |
|      breasts       |  551  |
|       maple        |  551  |
|       sifted       |  551  |
|        rum         |  535  |
|        pint        |  526  |
|        sage        |  526  |
|    blueberries     |  525  |
|        mint        |  523  |
|      crackers      |  519  |
|       sprigs       |  511  |
|       cored        |  511  |
|      filling       |  511  |
|       mixed        |  506  |
|       sharp        |  505  |
|       quarts       |  504  |
|      cracker       |  504  |
|       chops        |  503  |
|       kidney       |  500  |
|      avocado       |  492  |
|       swiss        |  491  |
|       coffee       |  484  |
|       french       |  483  |
|       cereal       |  473  |
|       salmon       |  472  |
|      cherries      |  467  |
|       vodka        |  448  |
|     coriander      |  446  |
|      molasses      |  444  |
|        nuts        |  443  |
|        taco        |  440  |
|      turmeric      |  433  |
|       kernel       |  429  |
|       creamy       |  426  |
|      cornmeal      |  423  |
|       chives       |  420  |
|      macaroni      |  416  |
|     applesauce     |  409  |
|    cauliflower     |  402  |
|     asparagus      |  400  |
|       sherry       |  396  |
|        roma        |  389  |
|      chipotle      |  386  |
|      ricotta       |  379  |
|     miniature      |  376  |
|      peanuts       |  374  |
|        beer        |  367  |
|     processed      |  363  |
|        tuna        |  363  |
|      lightly       |  361  |
|        loaf        |  356  |
|      barbeque      |  355  |
|    marshmallows    |  348  |
|      granules      |  340  |
|        fish        |  336  |
|       wedges       |  330  |
|       mango        |  329  |
|       rolls        |  321  |
|     artichoke      |  321  |
|       jello        |  319  |
|      crabmeat      |  313  |
|      garbanzo      |  312  |
|      avocados      |  310  |
|      peaches       |  310  |
|       pickle       |  308  |
|       steaks       |  308  |
|       zested       |  308  |
|       jigger       |  306  |
|     cranberry      |  304  |
|       ranch        |  301  |
|       stewed       |  300  |
|       tartar       |  300  |
|      kernels       |  296  |
|      cottage       |  295  |
